X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,ENGLISH_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,COMMUNITY,POSTAL_CODE,OBJECTID,FORMATTED_ADDRESS
-82.4229629,52.9253484,321014895,7295312,Attawapiskat Pharmacy,1 Balsam Street,,Attawapiskat,P0L1A0,2387009,,"1 Balsam St S, Attawapiskat, ON P0L 1A0, Canada"
-80.6433138,51.2732489,321016121,8853733,Northern Pharmacy,20 First Street Box 9,,Moosonee,P0L1Y0,2418065,,"Northern Store, 20 First St, Moosonee, ON P0L 1Y0, Canada"
-93.8224252,51.013249,321013393,5128916,Red Lake Pharmacy,51G Highway 105,,Red Lake,P0V2M0,2352865,,"51g ON-105, Red Lake, ON P0V 2M0, Canada"
-93.2335251,50.6373048,321012477,3378632,Ear Falls Pharmacy,1273 Highway 105 South,,Ear Falls,P0V1T0,2447345,,"1273 ON-105, Ear Falls, ON P0V 1T0, Canada"
-79.967315,50.3292385,321013386,5120273,Moose Factory Pharmacy,107 Jonathon Cheechoo Drive,Box 60,Moose Factory,P0L1W0,2354497,,"Moose Factory, ON P0L 0A2, Canada"
-91.9202219,50.0987461,321014918,7322319,Sioux Lookout Remedy's Rx,75 King Street,,Sioux Lookout,P8T1B1,2337329,,"75 King St, Sioux Lookout, ON P8T 1B1, Canada"
-91.9160066,50.0983412,321014415,6672914,Rx Drug Mart #5007,14 Fourth Avenue,,Sioux Lookout,P8T1C5,2259761,,"14 4th Ave, Sioux Lookout, ON P8T 1B1, Canada"
-93.3845938,49.8553739,321015192,7688077,Vermilion Bay Pharmasave #491,78 Spruce Street,Po Box 94,Vermilion Bay,P0V2V0,2402433,,"Vermilion Bay, ON P0V 2V0, Canada"
-92.741448,49.7856231,321015826,85099,Wal-Mart Pharmacy,Highway #17 East,,Dryden,P8N2Y6,2323777,,
-92.8386759,49.7834942,321014504,6796112,Dryden Pharmacy,1-35 Whyte Avenue,,Dryden,P8N1Z2,2272225,,"35 Whyte Ave #1, Dryden, ON P8N 1Z2, Canada"
-92.8398298,49.78279,321016523,9247433,Shoppers Drug Mart #1292,25 Duke Street,,Dryden,P8N1E6,2355713,,"25 Duke St, Dryden, ON P8N 1E6, Canada"
