X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,ENGLISH_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,COMMUNITY,POSTAL_CODE,OBJECTID
-82.4229629,52.9253484,321014895,7295312,Attawapiskat Pharmacy,1 Balsam Street,,Attawapiskat,P0L1A0,2387009
-80.6433138,51.2732489,321016121,8853733,Northern Pharmacy,20 First Street Box 9,,Moosonee,P0L1Y0,2418065
-93.8224252,51.013249,321013393,5128916,Red Lake Pharmacy,51G Highway 105,,Red Lake,P0V2M0,2352865
-93.2335251,50.6373048,321012477,3378632,Ear Falls Pharmacy,1273 Highway 105 South,,Ear Falls,P0V1T0,2447345
-79.967315,50.3292385,321013386,5120273,Moose Factory Pharmacy,107 Jonathon Cheechoo Drive,Box 60,Moose Factory,P0L1W0,2354497
-91.9202219,50.0987461,321014918,7322319,Sioux Lookout Remedy's Rx,75 King Street,,Sioux Lookout,P8T1B1,2337329
-91.9160066,50.0983412,321014415,6672914,Rx Drug Mart #5007,14 Fourth Avenue,,Sioux Lookout,P8T1C5,2259761
-93.3845938,49.8553739,321015192,7688077,Vermilion Bay Pharmasave #491,78 Spruce Street,Po Box 94,Vermilion Bay,P0V2V0,2402433
-92.741448,49.7856231,321015826,85099,Wal-Mart Pharmacy,Highway #17 East,,Dryden,P8N2Y6,2323777
-92.8386759,49.7834942,321014504,6796112,Dryden Pharmacy,1-35 Whyte Avenue,,Dryden,P8N1Z2,2272225
-92.8398298,49.78279,321016523,9247433,Shoppers Drug Mart #1292,25 Duke Street,,Dryden,P8N1E6,2355713
-86.5344866,49.7809871,321014089,6187912,Rexall #6905,101 King Street,,Longlac,P0T2A0,2269329
-92.8365866,49.7808026,321014362,6589710,IDA Dryden Pharmacy,72C Van Horne Avenue,,Dryden,P8N2B1,2298513
-94.4842808,49.7673226,321011714,1414758,Loblaw Pharmacy 4063,538 Park Street,,Kenora,P9N1A1,2273569
-94.4905974,49.7672782,321011487,1080350,Johnson's Pharmacy,116 Main Street South,,Kenora,P9N1S9,2442017
-94.5025614,49.7669413,321013361,5074858,Kenora Medical Centre Phcy Ltd,45 Wolsley Street,,Kenora,P9N3W7,2293009
